MUNICIPIO,CODIGO_IBGE,Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],POPULACAO_2024,Escolarização  6 a 14 anos- % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2022],Total de despesas brutas empenhadas - R$ [2022],PIB per capita - R$ [2021],UTI_TOTAL_EXIST,UTI_TOTAL_SUS,LEITOS_UTI_POR_10000_HAB
UIBAI,2932408,uibaiense,AIDERLENE ROCHA LEVI,545.298,13432,24.63,13880,97.7,0.617,,57934752.85,53061837.5,12659.64,0,0,0.0
UMBURANAS,2932457,umburanense,FABRICIO LOPES RIBEIRO DE ALMEIDA,1775.633,13642,7.68,13888,95.7,0.515,38.76,74794288.64,70201275.91,13434.87,0,0,0.0
UNA,2932507,unense,ROGERIO MARTINS BORGES,1126.733,18131,16.09,18403,96.8,0.56,20.41,107889281.77,111545422.4,18605.54,0,0,0.0
URANDI,2932606,urandiense,WARLEI OLIVEIRA DE SOUZA,902.402,15355,17.02,15794,98.1,0.598,18.18,82299806.68,75844673.67,11987.35,0,0,0.0
URUCUCA,2932705,uruçuquense,MAGNOLIA ANDRADE BARRETO,510.098,21420,41.99,22130,95.8,0.616,10.99,98114266.25,97063956.1,14575.09,0,0,0.0
UTINGA,2932804,utinguense,ATILA SANT ANA KARAOGLAN,633.76,16277,25.68,16691,96.9,0.59,15,89628028.31,67988948.41,9620.61,0,0,0.0
VALENCA,2932903,valenciano,MARCOS ANTONIO MEDRADO,1123.975,85655,76.21,90028,97.1,0.623,21.01,339720936.97,331270062.4,17784.63,30,0,3.33
VALENTE,2933000,valentense,UBALDINO AMARAL DE OLIVEIRA,394.877,24362,61.7,25126,98.7,0.637,15.04,122869573.08,116678341,9237.34,0,0,0.0
VARZEA DA ROCA,2933059,varzeano,DANILLO SANTOS SALES RIOS,468.407,13800,29.46,14279,97.9,0.539,33.33,70676067.21,64178915.05,7937.78,0,0,0.0
VARZEA DO POCO,2933109,varzeapense,EVERSON MARCOS MATT,206.478,8101,39.23,8344,98.8,0.575,,42413924.88,38606247.05,12564.78,0,0,0.0
VARZEA NOVA,2933158,várzea-novense,DAIANE SEVERINA PEREIRA,1225.892,13377,10.91,13847,95.9,0.555,22.35,65530438.74,63107470.21,18469.87,0,0,0.0
VARZEDO,2933174,varzedense,GILMAR BORBA BITENCOURT,221.399,9913,44.77,10296,97.9,0.586,,50611998.83,43538466.5,15487.45,0,0,0.0
VERA CRUZ,2933208,vera-cruzense,IGOR PINHO SANTOS,297.537,42529,142.94,44978,99.3,0.645,12.27,185156130.06,179369074.8,13641.18,0,0,0.0
VEREDA,2933257,veredense,MANRICK GREGÓRIO PRATES TEIXEIRA,782.159,6003,7.67,6171,98.1,0.577,36.14,44155845.16,40709075.7,15186.69,0,0,0.0
VITORIA DA CONQUISTA,2933307,conquistense,ANA SHEILA LEMOS ANDRADE,3254.186,370879,113.97,394024,96.8,0.678,15.97,1308911124.11,1236420969,23907.93,516,240,13.1
WAGNER,2933406,wagnense,THIAGO ROCHA LADEIA,522.37,9503,18.19,9847,96.6,0.587,,40029225.13,36350867.87,9591.73,0,0,0.0
WANDERLEY,2933455,wanderleiense,CAMARGO ANTÔNIO PINTO CRISOSTOMO,2920.579,12968,4.44,13436,96.1,0.6,,47142850.79,71260578.11,13835.65,0,0,0.0
WENCESLAU GUIMARAES,2933505,wenceslau-guimarãense,BENEDITO GABRIEL DE ANDRADE GOMES,655.057,24474,37.36,25430,94.6,0.544,14.76,119317455.05,109889224.4,15896.95,0,0,0.0
XIQUE-XIQUE,2933604,xiquexiquense,RENAN PINTO DANTAS BRAGA,5079.662,44757,8.81,46979,96.9,0.585,22.36,218529967.44,208216818.7,9904.22,0,0,0.0
